Variable Name,Survey,File,Variable description,Formula ,Flag name,Section number,Section description,Section part,First year,First Quarter,Last quarter,Last year,Comment
CARTKNPQ,INTERVIEW,FMLI,"Cars and trucks, new (net outlay) last quarter","SUM (450110,450210)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
CARTKUPQ,INTERVIEW,FMLI,"Cars and trucks, used (net outlay) last quarter","SUM (460110,460901)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
OTHVEHPQ,INTERVIEW,FMLI,Other vehicles last quarter,"SUM (450220,460902)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
GASMOPQ,INTERVIEW,FMLI,Gasoline and motor oil last quarter,"SUM (470111,470112,470113,470211,470212)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
VEHFINPQ,INTERVIEW,FMLI,Vehicle finance charges last quarter,"SUM (510110,510901,510902,850300)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
MAINRPPQ,INTERVIEW,FMLI,Maintenance and repairs last quarter,"SUM (470220,480110,480213,480216,490110,490232,490300,490311,490312,490313,490314,490318,490501,490900,480212,480215)",,,"CU characteristics, income, weights, and summary level expenditures.",,2013,2.0,,,
VEHINSPQ,INTERVIEW,FMLI,Vehicle insurance last quarter,SUM (500110),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
VRNTLOPQ,INTERVIEW,FMLI,"Vehicle rental, leases, licenses, and other charges last quarter",,,,"CU characteristics, income, weights, and summary level expenditures.",,2013,2.0,,,
PUBTRAPQ,INTERVIEW,FMLI,Public and other transportation last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
TRNTRPPQ,INTERVIEW,FMLI,Public and other transportation on trips last quarter,"SUM (530110,530210,530312,530411,530510,530901)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
TRNOTHPQ,INTERVIEW,FMLI,"Local public transportation, excluding on trips last quarter","SUM (530311,530412,530902)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
HEALTHPQ,INTERVIEW,FMLI,Health care last quarter,"SUM (0, HLTHINPQ, MEDSRVPQ, PREDRGPQ, MEDSUPPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
HLTHINPQ,INTERVIEW,FMLI,Health insurance last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,2006,2.0,1.0,2013.0,
MEDSRVPQ,INTERVIEW,FMLI,Medical services last quarter,"SUM (560110,560210,560310,560330,560400,570220,570230,570240,570111)",,,"CU characteristics, income, weights, and summary level expenditures.",,2005,2.0,,,
PREDRGPQ,INTERVIEW,FMLI,Prescription drugs last quarter,SUM (540000),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
MEDSUPPQ,INTERVIEW,FMLI,Medical supplies last quarter,"SUM (550110,550320,550330,550340,570901,570903)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2011.0,
FEEADMPQ,INTERVIEW,FMLI,Fees and admissions last quarter,"SUM (610900,620111,620121,620122,620211,620212,620221,620222,620310,620903)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2013.0,
ENTERTPQ,INTERVIEW,FMLI,Entertainment last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
TVRDIOPQ,INTERVIEW,FMLI,"Televisions, radios, and sound equipment last quarter","SUM (270310,270311,310210,310220,310231,310232,310316,310333,310334,340610,340902,340905,610130,620904,620912,310140,310240,310340,310314,310350,310400,690320,690330,690340,690350)",,,"CU characteristics, income, weights, and summary level expenditures.",,2013,2.0,,,
OTHEQPPQ,INTERVIEW,FMLI,Other equipment and services last quarter,"SUM (0, PETTOYPQ, OTHENTPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
PETTOYPQ,INTERVIEW,FMLI,"Pets, toys, and playground equipment last quarter","SUM (610110,610120,610320,620410,620420,610140,610310)",,,"CU characteristics, income, weights, and summary level expenditures.",,2010,2.0,,,
OTHENTPQ,INTERVIEW,FMLI,Other entertainment last quarter,"SUM (520901,520904,520907,600110,600121,600122,600131,600132,600141,600142,600210,600310,600410,600420,600430,600900,600901,600902,610210,610230620320,620330,620905,620906,620907,620908,620909,620919,620921,620922)",,,"CU characteristics, income, weights, and summary level expenditures.",,1999,2.0,1.0,2005.0,
PERSCAPQ,INTERVIEW,FMLI,Personal care last quarter,"SUM (640130,640420,650110,650210,650900)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,1.0,1999.0,
READPQ,INTERVIEW,FMLI,Reading last quarter,"SUM (590110,590111,590112,590210,590211,590212,590220,590230,660310)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,1.0,2005.0,
EDUCAPQ,INTERVIEW,FMLI,Education last quarter,"SUM (660110,660210,660901,660902,670110,670210,670901,670902,660410,670410)",,,"CU characteristics, income, weights, and summary level expenditures.",,2007,2.0,1.0,2009.0,
TOBACCPQ,INTERVIEW,FMLI,Tobacco and smoking supplies last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
PERINSPQ,INTERVIEW,FMLI,heading prior to this list of variables. Personal insurance and pensions last quarter,"SUM (0, LIFINSPQ, RETPENPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
LIFINSPQ,INTERVIEW,FMLI,Life and other personal insurance last quarter,"SUM (002120,700110)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
RETPENPQ,INTERVIEW,FMLI,"Retirement, pensions, Social Security last quarter",,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
MISCPQ,INTERVIEW,FMLI,Miscellaneous expenditures last quarter,"SUM (0, MISC1PQ, MISC2PQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
MISC1PQ,INTERVIEW,FMLI,Miscellaneous expenditures last quarter,"SUM (620112,680110,680140,680210,680220,680901,680902,790600,880210)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2001.0,
MISC2PQ,INTERVIEW,FMLI,Miscellaneous expenditures last quarter,SUM (710110),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,Data collected only in fifth interview
CASHCOPQ,INTERVIEW,FMLI,Cash contributions last quarter,"SUM (800111,800121,800804,800811,800821,800831,800841,800851,800861)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
TOTEX4PQ,INTERVIEW,FMLI,Adjusted total expenditures last quarter,"TOTEXPPQ - SUM (0, MISCPQ, CASHCOPQ) + SUM (0, MISC1PQ, 4 * (MISC2PQ + CASHCOPQ))",,,"CU characteristics, income, weights, and summary level expenditures.",,1995,1.0,1.0,2001.0,
MISCX4PQ,INTERVIEW,FMLI,Adjusted miscellaneous expenditures last quarter (To be used for population estimates,"SUM (0, MISC1PQ, 4 * MISC2PQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1995,1.0,,,
MRTINTPQ,INTERVIEW,FMLI,Mortgage interest last quarter,"SUM (220311,220313,880110)",,,"CU characteristics, income, weights, and summary level expenditures.",,2007,2.0,,,
PROPTXPQ,INTERVIEW,FMLI,Property taxes last quarter,SUM (220211),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
MRPINSPQ,INTERVIEW,FMLI,"Maintenance, repairs, insurance, and other expenses last quarter","SUM (210901,220111,220121,220901,230112,230113,230114,230115,230116,230122,230142,230151,230901,240112,240122,240212,240213,240222,240312,240322320612,320622,320632,340911,990930)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
