age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,y,test_control_flag,was_contacted
51,technician,married,basic.6y,unknown,no,no,telephone,5,mon,250.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,management,divorced,university.degree,no,no,no,telephone,5,mon,19.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,5,mon,55.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
48,blue-collar,married,basic.4y,no,yes,no,telephone,5,mon,717.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,blue-collar,single,basic.9y,unknown,no,no,telephone,5,mon,289.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,admin.,married,basic.9y,unknown,yes,no,telephone,5,mon,683.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
33,services,married,high.school,no,no,no,telephone,5,mon,146.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,student,single,university.degree,unknown,no,no,telephone,5,mon,218.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,student,single,university.degree,unknown,yes,yes,telephone,5,mon,217.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,student,single,university.degree,unknown,yes,no,telephone,5,mon,248.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
57,retired,married,unknown,unknown,no,no,telephone,5,mon,611.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
39,housemaid,married,basic.4y,unknown,yes,no,telephone,5,mon,381.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
30,blue-collar,single,unknown,no,yes,yes,telephone,5,mon,408.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,services,married,high.school,no,no,no,telephone,5,mon,322.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,admin.,married,high.school,no,yes,no,telephone,5,mon,216.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
36,services,single,basic.6y,unknown,yes,no,telephone,5,mon,210.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
42,technician,married,university.degree,no,no,no,telephone,5,mon,64.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
35,admin.,single,university.degree,no,no,no,telephone,5,mon,209.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,blue-collar,married,basic.4y,no,yes,yes,telephone,5,mon,177.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
50,services,divorced,professional.course,no,yes,no,telephone,5,mon,165.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
39,admin.,married,high.school,unknown,no,no,telephone,5,mon,357.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
52,self-employed,married,university.degree,unknown,no,no,telephone,5,mon,175.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
57,retired,married,high.school,no,no,no,telephone,5,mon,238.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,management,married,university.degree,no,yes,no,telephone,5,mon,18.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,services,single,basic.9y,no,no,no,telephone,5,mon,730.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
36,blue-collar,single,high.school,no,no,yes,telephone,5,mon,389.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,technician,divorced,professional.course,no,no,no,telephone,5,mon,151.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,blue-collar,married,basic.4y,no,yes,no,telephone,5,mon,211.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
51,services,married,basic.6y,no,yes,no,telephone,5,mon,117.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
43,technician,married,unknown,no,yes,no,telephone,5,mon,200.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
27,blue-collar,single,basic.6y,no,no,no,telephone,5,mon,350.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,self-employed,single,university.degree,no,yes,no,telephone,5,mon,150.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
31,student,single,university.degree,unknown,no,no,telephone,5,mon,332.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
54,management,divorced,university.degree,no,no,no,telephone,5,mon,611.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
52,unemployed,married,high.school,unknown,yes,no,telephone,5,mon,151.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
47,management,divorced,university.degree,no,no,no,telephone,5,mon,89.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
49,housemaid,married,basic.9y,unknown,no,no,telephone,5,mon,152.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,services,married,high.school,no,no,no,telephone,5,mon,962.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
47,technician,single,basic.9y,no,no,no,telephone,5,mon,10.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
51,retired,married,professional.course,no,no,no,telephone,5,mon,118.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
56,technician,married,basic.4y,no,yes,no,telephone,5,mon,143.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,admin.,single,high.school,no,yes,yes,telephone,5,mon,56.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
60,blue-collar,married,unknown,unknown,yes,no,telephone,5,mon,5.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,management,divorced,university.degree,no,yes,no,telephone,5,mon,125.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
31,admin.,married,high.school,no,yes,yes,telephone,5,mon,286.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,blue-collar,married,basic.4y,no,yes,no,telephone,5,mon,164.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,technician,single,professional.course,no,yes,no,telephone,5,mon,98.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
47,self-employed,married,professional.course,no,no,no,telephone,5,mon,446.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,services,divorced,high.school,no,no,no,telephone,5,mon,122.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,services,single,high.school,unknown,no,no,telephone,5,mon,357.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
50,blue-collar,divorced,high.school,unknown,no,yes,telephone,5,mon,200.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,admin.,married,university.degree,no,yes,no,telephone,5,mon,261.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
27,admin.,single,university.degree,no,no,no,telephone,5,mon,106.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
36,admin.,married,high.school,no,no,no,telephone,5,mon,108.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,management,married,university.degree,unknown,yes,no,telephone,5,mon,358.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
33,admin.,divorced,high.school,no,no,no,telephone,5,mon,364.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,blue-collar,married,basic.9y,no,no,no,telephone,5,mon,173.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
53,admin.,single,basic.6y,no,yes,yes,telephone,5,mon,148.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,technician,single,unknown,no,no,no,telephone,5,mon,230.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,housemaid,single,professional.course,no,no,no,telephone,5,mon,111.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
33,admin.,married,high.school,no,no,no,telephone,5,mon,316.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,blue-collar,married,basic.9y,unknown,no,no,telephone,5,mon,240.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
29,services,single,high.school,no,yes,no,telephone,5,mon,425.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
36,blue-collar,married,basic.9y,no,yes,no,telephone,5,mon,121.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,management,married,high.school,no,yes,no,telephone,5,mon,174.0,5.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
49,entrepreneur,married,high.school,no,yes,no,telephone,5,mon,135.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
49,admin.,married,basic.9y,no,no,no,telephone,5,mon,220.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
57,unknown,married,unknown,unknown,yes,no,telephone,5,mon,325.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
58,blue-collar,divorced,basic.4y,no,yes,no,telephone,5,mon,254.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,blue-collar,single,basic.9y,unknown,yes,no,telephone,5,mon,421.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
48,blue-collar,married,basic.6y,unknown,no,no,telephone,5,mon,174.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
53,admin.,married,university.degree,no,yes,no,telephone,5,mon,208.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
32,blue-collar,married,basic.9y,no,no,no,telephone,5,mon,98.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
33,services,married,basic.4y,no,no,no,telephone,5,mon,229.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
49,blue-collar,married,basic.9y,unknown,yes,no,telephone,5,tue,64.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,blue-collar,married,basic.9y,no,no,no,telephone,5,tue,77.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,blue-collar,married,basic.9y,no,no,yes,telephone,5,tue,54.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
46,admin.,single,high.school,no,yes,no,telephone,5,tue,344.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
41,technician,married,basic.6y,no,yes,no,telephone,5,tue,278.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,admin.,single,university.degree,no,no,no,telephone,5,tue,189.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
30,student,single,unknown,unknown,no,no,telephone,5,tue,133.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
59,management,married,basic.4y,unknown,yes,yes,telephone,5,tue,318.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,self-employed,married,university.degree,no,no,no,telephone,5,tue,402.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
50,management,married,high.school,unknown,no,no,telephone,5,tue,149.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
56,services,married,high.school,unknown,no,no,telephone,5,tue,135.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
29,blue-collar,divorced,basic.4y,no,no,no,telephone,5,tue,231.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,blue-collar,married,basic.9y,unknown,no,no,telephone,5,tue,199.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
52,services,single,high.school,no,no,no,telephone,5,tue,455.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
42,entrepreneur,married,university.degree,no,yes,no,telephone,5,tue,154.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
36,services,married,high.school,no,no,yes,telephone,5,tue,140.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,admin.,married,high.school,no,no,no,telephone,5,tue,483.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
55,technician,married,basic.4y,no,no,yes,telephone,5,tue,259.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
57,retired,unknown,basic.4y,no,no,no,telephone,5,tue,673.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,entrepreneur,married,basic.4y,unknown,yes,no,telephone,5,tue,576.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
51,blue-collar,married,basic.4y,unknown,yes,yes,telephone,5,tue,180.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,technician,single,university.degree,no,yes,no,telephone,5,tue,186.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
43,entrepreneur,married,basic.4y,no,no,no,telephone,5,tue,623.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
39,management,married,university.degree,unknown,no,no,telephone,5,tue,496.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,blue-collar,married,basic.4y,unknown,yes,no,telephone,5,tue,118.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
31,services,married,high.school,unknown,no,no,telephone,5,tue,276.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
30,self-employed,single,university.degree,no,yes,no,telephone,5,tue,262.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
27,services,single,professional.course,no,yes,yes,telephone,5,tue,271.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,technician,married,professional.course,no,yes,no,telephone,5,tue,198.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
46,housemaid,married,basic.9y,no,yes,no,telephone,5,tue,150.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,blue-collar,married,basic.6y,no,no,yes,telephone,5,tue,53.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
52,self-employed,married,university.degree,no,yes,no,telephone,5,tue,678.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
39,management,married,basic.6y,unknown,no,no,telephone,5,tue,27.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,management,married,university.degree,no,no,no,telephone,5,tue,1677.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
29,admin.,married,university.degree,unknown,yes,no,telephone,5,tue,379.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
44,blue-collar,married,basic.9y,unknown,no,no,telephone,5,tue,472.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
59,unknown,married,unknown,unknown,no,no,telephone,5,tue,113.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
39,blue-collar,married,basic.4y,unknown,no,no,telephone,5,tue,114.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,services,married,high.school,no,yes,no,telephone,5,tue,169.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
49,unknown,married,unknown,unknown,yes,no,telephone,5,tue,288.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
54,management,married,basic.6y,unknown,yes,yes,telephone,5,tue,381.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
32,admin.,single,university.degree,unknown,no,no,telephone,5,tue,215.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,technician,married,professional.course,no,yes,no,telephone,5,tue,278.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,housemaid,married,professional.course,unknown,no,no,telephone,5,tue,188.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,technician,married,university.degree,no,yes,no,telephone,5,tue,226.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,unemployed,married,basic.9y,unknown,no,no,telephone,5,tue,111.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,services,married,basic.9y,no,no,no,telephone,5,tue,157.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
36,blue-collar,married,basic.9y,unknown,no,no,telephone,5,tue,46.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,technician,married,professional.course,no,yes,no,telephone,5,tue,349.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,admin.,divorced,university.degree,unknown,yes,no,telephone,5,tue,325.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
56,entrepreneur,married,university.degree,unknown,no,no,telephone,5,tue,153.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
33,admin.,married,basic.9y,no,no,no,telephone,5,tue,198.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
51,services,divorced,high.school,unknown,yes,no,telephone,5,tue,568.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,entrepreneur,married,university.degree,no,no,no,telephone,5,tue,82.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
43,entrepreneur,married,high.school,no,no,no,telephone,5,tue,166.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
50,services,married,basic.9y,no,yes,yes,telephone,5,tue,369.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,housemaid,single,basic.4y,unknown,yes,no,telephone,5,tue,198.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
52,blue-collar,married,basic.4y,no,no,no,telephone,5,tue,371.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,blue-collar,married,unknown,unknown,no,no,telephone,5,tue,288.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
39,blue-collar,married,basic.6y,no,yes,no,telephone,5,tue,158.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,admin.,married,high.school,no,no,no,telephone,5,tue,145.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
47,admin.,single,unknown,unknown,yes,no,telephone,5,tue,247.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,admin.,divorced,high.school,no,yes,yes,telephone,5,tue,179.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
44,admin.,married,high.school,no,no,no,telephone,5,tue,263.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
